1	1	02	GERENCIA DE PROYECTOS		71040	1	2019-04-05 16:28:48.436031
2	1	02.01	PRESUPUESTO OPERACIONAL	02	71040	1	2019-04-05 16:28:48.436031
3	1	02.01.02	BIENES Y SERVICIOS	02.01	70440	1	2019-04-05 16:28:48.436031
4	1	02.01.02.01	Gastos de operación y funcionamiento	02.01.02	27300	1	2019-04-05 16:28:48.436031
5	1	02.01.02.02	Alquiler de bienes inmuebles y muebles	02.01.02	13200	1	2019-04-05 16:28:48.436031
6	1	02.01.02.03	Publicidad, difusion 	02.01.02	10000	1	2019-04-05 16:28:48.436031
7	1	02.01.02.04	Viaticos	02.01.02	16440	1	2019-04-05 16:28:48.436031
8	1	02.01.02.05	Otros servicios	02.01.02	3500	1	2019-04-05 16:28:48.436031
9	1	02.01.03	INVERSIONES	02.01	600	1	2019-04-05 16:28:48.436031
10	1	02.01.03.05	Mobiliario	02.01.03	600	1	2019-04-05 16:28:48.436031
11	1	02.01.03.06	Otros egresos	02.01.03	32000	1	2019-04-05 16:28:48.436031
12	2	03	GERENCIA COMERCIAL		64080	1	2019-04-05 22:41:23.640747
13	2	03.01	PRESUPUESTO OPERACIONAL	03	64080	1	2019-04-05 22:41:23.640747
14	2	03.01.02	BIENES Y SERVICIOS	03.01	63480	1	2019-04-05 22:41:23.640747
15	2	03.01.02.01	Gastos de operación y funcionamiento	03.01.02	13350	1	2019-04-05 22:41:23.640747
16	2	03.01.02.02	Alquiler de bienes inmuebles y muebles	03.01.02	16350	1	2019-04-05 22:41:23.640747
17	2	03.01.02.03	Publicidad, difusion 	03.01.02	7500	1	2019-04-05 22:41:23.640747
18	2	03.01.02.04	Viaticos	03.01.02	11280	1	2019-04-05 22:41:23.640747
19	2	03.01.02.05	Otros servicios	03.01.02	15000	1	2019-04-05 22:41:23.640747
20	2	03.01.03	INVERSIONES	03.01	600	1	2019-04-05 22:41:23.640747
21	2	03.01.03.05	Mobiliario	03.01.03	600	1	2019-04-05 22:41:23.640747
22	2	03.01.03.05.01	OFICINA	03.01.03.05	600	2	2019-04-05 22:41:23.640747
23	3	04	GERENCIA DE ADMINISTRACION Y FINANZAS		245160	1	2019-04-05 23:33:10.412699
24	3	04.01	PRESUPUESTO OPERACIONAL	04	245160	1	2019-04-05 23:33:10.412699
25	3	04.01.01	REMUNERACIONES	04.01	198000	1	2019-04-05 23:33:10.412699
26	3	04.01.01.01	Personal de oficina	04.01.01	198000	1	2019-04-05 23:33:10.412699
27	3	04.01.01.04	Personal de apoyo externo	04.01.01	42000	1	2019-04-05 23:33:10.412699
28	3	04.01.02	BIENES Y SERVICIOS	04.01	46260	1	2019-04-05 23:33:10.412699
29	3	04.01.02.01	Gastos de operación y funcionamiento	04.01.02	28560	1	2019-04-05 23:33:10.412699
30	3	04.01.02.02	Alquiler de bienes inmuebles y muebles	04.01.02	6900	1	2019-04-05 23:33:10.412699
31	3	04.01.02.03	Publicidad, difusion 	04.01.02	900	1	2019-04-05 23:33:10.412699
32	3	04.01.02.04	Viaticos	04.01.02	3150	1	2019-04-05 23:33:10.412699
33	3	04.01.02.05	Otros servicios	04.01.02	6750	1	2019-04-05 23:33:10.412699
34	3	04.01.03	INVERSIONES	04.01	900	1	2019-04-05 23:33:10.412699
35	3	04.01.03.05	Mobiliario	04.01.03	900	1	2019-04-05 23:33:10.412699
36	1	02.01.01	REMUNERACIONES	02.01	0	1	2019-04-09 12:01:20.868379
37	1	02.01.01.01	Personal de oficina	02.01.01	0	1	2019-04-09 12:01:20.868379
38	1	02.01.01.02	Aportes patronales	02.01.01	0	1	2019-04-09 12:01:20.868379
39	1	02.01.01.03	Provisiones	02.01.01	0	1	2019-04-09 12:01:20.868379
40	1	02.01.03.01	Adquisición de inmuebles	02.01.03	0	1	2019-04-09 12:01:20.868379
41	1	02.01.03.02	Construcción de inmuebles	02.01.03	0	1	2019-04-09 12:01:20.868379
42	1	02.01.03.03	Remodelación de inmuebles	02.01.03	0	1	2019-04-09 12:01:20.868379
43	1	02.01.03.04	Vehiculos y equipamiento	02.01.03	0	1	2019-04-09 12:01:20.868379
44	1	02.01.04	FINANCIAMIENTO	02.01	0	1	2019-04-09 12:01:20.868379
45	1	02.01.04.01	Gastos financieros	02.01.04	0	1	2019-04-09 12:01:20.868379
